학교명,링크,결과,
인덕대학교,https://wads.jinhakapply.com/RealMedia/ads/click_lx.ads/U_jinhakapplyP/CenterP/L22/843601877/x04/JINHAKAPPLY/2504_induk_CenterP_211x66_4/2504_induk_CenterP_211x66_4_250417.html/792f7563516d69784e33304143366c56,OK,
안산대학교,https://wads.jinhakapply.com/RealMedia/ads/click_lx.ads/U_jinhakapplyP/CenterP/L22/811278594/x05/JINHAKAPPLY/2504_ansan_CenterP_211x66_5/2504_ansan_CenterP_211x66_5_250417.html/792f7563516d69784e33304143366c56,Error 502,x
정화예술대학교,https://wads.jinhakapply.com/RealMedia/ads/click_lx.ads/U_jinhakapplyP/CenterP/L22/1165619275/x06/JINHAKAPPLY/2504_jb_CenterP_211x66_6/2504_jb_CenterP_211x66_6_250417.html/792f7563516d69784e33304143366c56,OK,
한국폴리텍대학,https://wads.jinhakapply.com/RealMedia/ads/click_lx.ads/U_jinhakapplyP/CenterP/L22/1197774670/x07/JINHAKAPPLY/2504_kopo_CenterP_211x66_7/2504_kopo_CenterP_211x66_7_250417.html/792f7563516d69784e33304143366c56,OK,
호서대학교,https://wads.jinhakapply.com/RealMedia/ads/click_lx.ads/U_jinhakapplyP/CenterP/L22/266978637/x08/JINHAKAPPLY/2504_hoseo_CenterP_211x66_8/2504_hoseo_CenterP_211x66_8_250417.html/792f7563516d69784e33304143366c56,OK,
용인예술과학대학교,https://wads.jinhakapply.com/RealMedia/ads/click_lx.ads/U_jinhakapplyP/RollingP/L23/1579113724/x14/JINHAKAPPLY/2506_ysc_RollingP_117x26_14/2506_ysc_RollingP_117x26_14_250619.html/792f7563516d69784e33304143366c56,OK,
서울여자간호대학교,https://wads.jinhakapply.com/RealMedia/ads/click_lx.ads/U_jinhakapplyP/RollingP/L23/845111485/x15/JINHAKAPPLY/2506_snjc_RollingP_117x26_15/2506_snjc_RollingP_117x26_15_250619.html/792f7563516d69784e33304143366c56,OK,
오산대학교,https://wads.jinhakapply.com/RealMedia/ads/click_lx.ads/U_jinhakapplyP/RollingP/L23/135672665/x13/JINHAKAPPLY/2506_osan_RollingP_117x26_13/2506_osan_RollingP_117x26_13_250619.html/792f7563516d69784e33304143366c56,OK,
신구대학교,https://wads.jinhakapply.com/RealMedia/ads/click_lx.ads/U_jinhakapplyP/RollingP/L23/1333881468/x08/JINHAKAPPLY/2504_shingu_RollingP_117x26_8/2504_shingu_RollingP_117x26_8_250409.html/792f7563516d69784e33304143366c56,OK,
대림대학교,https://wads.jinhakapply.com/RealMedia/ads/click_lx.ads/U_jinhakapplyP/RollingP/L23/160483805/x10/JINHAKAPPLY/2504_daelim_RollingP_117x26_10/2504_daelim_RollingP_117x26_10_250409.html/792f7563516d69784e33304143366c56,OK,
대구대학교,https://wads.jinhakapply.com/RealMedia/ads/click_lx.ads/U_jinhakapplyP/RollingP/L23/1348230311/x07/JINHAKAPPLY/2504_daegu_RollingP_117x26_7/2504_daegu_RollingP_117x26_7_250409.html/792f7563516d69784e33304143366c56,OK,
명지전문대학,https://wads.jinhakapply.com/RealMedia/ads/click_lx.ads/U_jinhakapplyP/RollingP/L23/1819513764/x01/JINHAKAPPLY/2506_mjc_RollingP_117x26_1/2506_mjc_RollingP_117x26_1_250610.html/792f7563516d69784e33304143366c56,OK,
동남보건대학교,https://wads.jinhakapply.com/RealMedia/ads/click_lx.ads/U_jinhakapplyP/RollingP/L23/2146409148/x11/JINHAKAPPLY/2504_dongnam_RollingP_117x26_11/2504_dongnam_RollingP_117x26_11_250409.html/792f7563516d69784e33304143366c56,OK,
충청대학교,https://wads.jinhakapply.com/RealMedia/ads/click_lx.ads/U_jinhakapplyP/RollingP/L23/547489515/x05/JINHAKAPPLY/2506_ok_RollingP_117x26_5/2506_ok_RollingP_117x26_5_250616.html/792f7563516d69784e33304143366c56,OK,
숭의여자대학교,https://wads.jinhakapply.com/RealMedia/ads/click_lx.ads/U_jinhakapplyP/RollingP/L23/164853684/x03/JINHAKAPPLY/2504_sewu_RollingP_117x26_3/2504_sewu_RollingP_117x26_3_250409.html/792f7563516d69784e33304143366c56,OK,
가톨릭상지대학교,https://wads.jinhakapply.com/RealMedia/ads/click_lx.ads/U_jinhakapplyP/RollingP/L23/1033463210/x16/JINHAKAPPLY/2507_csj_RollingP_117x26_16/2507_csj_RollingP_117x26_16_250715.html/792f7563516d69784e33304143366c56,Error 400,x
동서울대학교,https://wads.jinhakapply.com/RealMedia/ads/click_lx.ads/U_jinhakapplyP/RollingP/L23/2089807536/x09/JINHAKAPPLY/2504_du_RollingP_117x26_9/2504_du_RollingP_117x26_9_250409.html/792f7563516d69784e33304143366c56,OK,
안산대학교,https://wads.jinhakapply.com/RealMedia/ads/click_lx.ads/U_jinhakapplyP/RollingP/L23/562307301/x12/JINHAKAPPLY/2504_ansan_RollingP_117x26_12/2504_ansan_RollingP_117x26_12_250409.html/792f7563516d69784e33304143366c56,Error 502,x
경기과학기술대학교,https://wads.jinhakapply.com/RealMedia/ads/click_lx.ads/U_jinhakapplyP/RollingP/L23/1791425523/x06/JINHAKAPPLY/2506_gtec_RollingP_117x26_6/2506_gtec_RollingP_117x26_6_250612.html/792f7563516d69784e33304143366c56,OK,
두원공과대학교,https://wads.jinhakapply.com/RealMedia/ads/click_lx.ads/U_jinhakapplyP/RollingP/L23/180854721/x02/JINHAKAPPLY/2508_doowon_RollingP_117x26_2/2508_doowon_RollingP_117x26_2_250822.html/792f7563516d69784e33304143366c56,OK,
아이디 찾기,https://applymem.jinhakapply.com/Find/ID,OK,
비밀번호 찾기,https://applymem.jinhakapply.com/Find/PWD,OK,
회원가입,https://applymem.jinhakapply.com,OK,
