학교이름,링크
동국대학교 WISE,https://ipsi.dongguk.ac.kr/
동국대학교(WISE),http://web.dongguk.ac.kr/
동남보건대학교,http://www.dongnam.ac.kr/
동남보건대학교,https://ipsi.dongnam.ac.kr/
동덕여자대학교,https://www.dongduk.ac.kr/
동명대학교,https://tu.ac.kr
동명대학교,https://www.tu.ac.kr/iphak/
동서대학교,http://www.dongseo.ac.kr
동서울대학교,http://www.du.ac.kr/
동서울대학교,https://enter.du.ac.kr/
동신대학교,http://www.dongshinu.ac.kr
동아대학교,http://www.donga.ac.kr
동아대학교,https://ent.donga.ac.kr/
동아방송예술대학교,http://ipsi.dima.ac.kr/
동아보건대학교,http://www.dongac.ac.kr
동양대학교,http://www.dyu.ac.kr
동양미래대학교,http://www.dongyang.ac.kr
동양미래대학교,https://ipsi.dongyang.ac.kr/
동원과학기술대학교,http://www.dist.ac.kr
동원과학기술대학교,https://ipsi.dist.ac.kr/
동원대학교,http://www.tw.ac.kr/
동원대학교,https://ipsi.tw.ac.kr/
동의과학대학교,http://www.dit.ac.kr
동의과학대학교,https://ipsi.dit.ac.kr/
동의대학교,https://ipsi.deu.ac.kr/main.do
두원공과대학교,https://entrance.doowon.ac.kr/main.do
루터대학교,http://www.ltu.ac.kr
마산대학교,http://www.masan.ac.kr/
마산대학교,https://www.masan.ac.kr/info/Main.do
명지대학교,https://iphak.mju.ac.kr/
명지대학교,http://www.mju.ac.kr
명지전문대학,http://www.mjc.ac.kr
명지전문대학,https://ipsi.joongbu.ac.kr/
명지전문대학 조기취업형 계약학과,http://www.mjc.ac.kr/
목원대학교,https://enter.mokwon.ac.kr/
목원대학교,http://www.mokwon.ac.kr
목포가톨릭대학교,http://www.mcu.ac.kr
목포과학대학교,http://ipsi.msu.ac.kr/main
문경대학교,http://www.mkc.ac.kr/
배재대학교,http://www.pcu.ac.kr
배화여자대학교,http://www.baewha.ac.kr/
배화여자대학교,https://ipsi.baewha.ac.kr/
배화여자대학교 반도체소프트웨어과,https://ipsi.baewha.ac.kr/main.do
백석대학교,http://www.bu.ac.kr
백석문화대학교,http://www.bscu.ac.kr/
백석예술대학교,https://www.bau.ac.kr/admission/index.do
백석예술대학교,http://gpin.bau.ac.kr/
백제예술대학교,http://www.paekche.ac.kr
부산가톨릭대학교,http://www.cup.ac.kr
부산경상대학교,http://www.bsks.ac.kr
부산경상대학교,https://iphak.bsks.ac.kr/
부산과학기술대학교,http://www.bist.ac.kr/
부산과학기술대학교,https://ipsi.bist.ac.kr/
부산교육대학교,http://www.bnue.ac.kr/
부산대학교,http://go.pusan.ac.kr/college_2016/main/main.asp
부산보건대학교,http://www.dongju.ac.kr
부산보건대학교,https://ipsi.bhu.ac.kr/
부산여자대학교,http://www.bwc.ac.kr/intro/
부산외국어대학교,http://www.bufs.ac.kr/
부산장신대학교,http://www.bpu.ac.kr/
부천대학교,https://ipsi.bc.ac.kr/
부천대학교,http://www.bc.ac.kr/
삼육대학교,https://ipsi.syu.ac.kr/
삼육대학교,http://www.syu.ac.kr
삼육보건대학교,https://exam.shu.ac.kr/
상명대학교,https://admission.smu.ac.kr/
상지대학교,https://www.sangji.ac.kr/go/index.do
상지대학교,http://www.sangji.ac.kr
서강대학교,https://admission.sogang.ac.kr/
서강대학교,https://admission.sogang.ac.kr/enter/html/main/index.asp
서경대학교,http://www.skuniv.ac.kr/
서영대학교(광주),http://www.seoyeong.ac.kr/
서영대학교(파주),http://www.seoyeong.ac.kr
서울과학기술대학교,https://www.seoultech.ac.kr
서울대학교,http://www.snu.ac.kr/
서울시립대학교,https://www.uos.ac.kr/
서울신학대학교,http://www.stu.ac.kr
서울여자간호대학교,http://www.snjc.ac.kr/
서울여자간호대학교,https://www.snjc.ac.kr/public_2017/ipsi/
서울여자대학교,https://admission.swu.ac.kr/
서울여자대학교,http://www.swu.ac.kr
서울예술대학교,http://www.seoularts.ac.kr
서울장신대학교,https://www.sjs.ac.kr/
서울한영대학교,http://ipsi.hytu.ac.kr/
서원대학교,https://www.seowon.ac.kr/iphak/
서원대학교,http://www.seowon.ac.kr/
서일대학교,https://www.seoil.ac.kr/ipsi/
서일대학교,https://www.seoil.ac.kr/sites/ipsi/index.do?kr
서정대학교,https://www.seojeong.ac.kr/iphak/
서정대학교,http://www.seojeong.ac.kr
선린대학교,http://www.sunlin.ac.kr
선린대학교,https://admission.sunlin.ac.kr/
선문대학교,http://www.sunmoon.ac.kr
성결대학교,http://www.sungkyul.ac.kr/
성공회대학교,https://enter.skhu.ac.kr/
성공회대학교,http://www.skhu.ac.kr/
성신여자대학교,https://ipsi.sungshin.ac.kr/
성신여자대학교,http://www.sungshin.ac.kr/
세경대학교,http://www.saekyung.ac.kr/
