name,href,status,title,ok,note
대구과학대학교,http://www.tsu.ac.kr,,,N,"exception: Error: Page.goto: net::ERR_CONNECTION_REFUSED at http://www.tsu.ac.kr/
Call log:
  - navigating to ""http://www.tsu.ac.kr/"", waiting until ""domcontentloaded""
"
대경대학교,http://www.tk.ac.kr,,,N,timeout
동양미래대학교,http://www.dongyang.ac.kr,200,,N,empty title
목포과학대학교,http://ipsi.msu.ac.kr,,,N,"exception: Error: Page.goto: net::ERR_NAME_NOT_RESOLVED at http://ipsi.msu.ac.kr/
Call log:
  - navigating to ""http://ipsi.msu.ac.kr/"", waiting until ""domcontentloaded""
"
부산보건대학교,http://www.dongju.ac.kr,404,Not Found,N,http 404
서일대학교,https://www.seoil.ac.kr,200,,N,empty title
세경대학교,http://www.saekyung.ac.kr,200,,N,empty title
송곡대학교,http://www.songgok.ac.kr,200,,N,empty title
숭의여자대학교,http://www.sewc.ac.kr,,,N,"exception: Error: Page.goto: net::ERR_NAME_NOT_RESOLVED at http://www.sewc.ac.kr/
Call log:
  - navigating to ""http://www.sewc.ac.kr/"", waiting until ""domcontentloaded""
"
안산대학교,http://www.ansan.ac.kr,502,SmartXFilter Message,N,http 502
연성대학교,http://www.yeonsung.ac.kr,200,,N,empty title
영진전문대학교,http://www.yjc.ac.kr,200,,N,empty title
인하공업전문대학,http://www.inhatc.ac.kr,200,,N,empty title
제주관광대학교,http://www.ctc.ac.kr,200,,N,empty title
제주한라대학교,http://www.chu.ac.kr,200,,N,empty title
청강문화산업대학교,http://www.ck.ac.kr,200,,N,empty title
한국승강기대학교,http://www.klc.ac.kr,,,N,"exception: Error: Page.goto: net::ERR_CONNECTION_REFUSED at http://www.klc.ac.kr/
Call log:
  - navigating to ""http://www.klc.ac.kr/"", waiting until ""domcontentloaded""
"
백석예술대학교,http://gpin.bau.ac.kr,200,,N,empty title
충북보건과학대학교,http://www.chsu.ac.kr,200,,N,empty title
연암대학교,http://www.yonam.ac.kr,200,,N,empty title
